question;ground_truth_answer;ground_truth_message
Где пары 11 июля?;Computer lab;"Занятия на следующей неделе так же в computer lab
10-15/07

#важное"
Кто такой Максим Шарифов?;CEO JetBrains;"#важное 
 
Ребята, в это воскресенье 9 июля в 11 часов утра приглашаем вас в Амфитеатр университета на встречу с Максимом Шафировым, CEO JetBrains. Приглашаем всех-всех-всех, готовьте интересные вопросы про технологии, будущее, про JetBrains и тп. 

Поставьте, пожалуйста, любую реакцию, если планируете прийти. Не опаздывайте плз)"
Когда встреча с Максимом Шарифовым?;9 июля в 11 часов утра;"#важное 
 
Ребята, в это воскресенье 9 июля в 11 часов утра приглашаем вас в Амфитеатр университета на встречу с Максимом Шафировым, CEO JetBrains. Приглашаем всех-всех-всех, готовьте интересные вопросы про технологии, будущее, про JetBrains и тп. 

Поставьте, пожалуйста, любую реакцию, если планируете прийти. Не опаздывайте плз)"
Где встреча с Максимом Шарифовым?;Амфитеатр университета;"#важное 
 
Ребята, в это воскресенье 9 июля в 11 часов утра приглашаем вас в Амфитеатр университета на встречу с Максимом Шафировым, CEO JetBrains. Приглашаем всех-всех-всех, готовьте интересные вопросы про технологии, будущее, про JetBrains и тп. 

Поставьте, пожалуйста, любую реакцию, если планируете прийти. Не опаздывайте плз)"
Обязательно ли платить за прогулку по Нижнему Пафосу?;Нет;"Прогулка по Нижнему Пафосу с Сашей Музюкиным завтра в среду в 19 00
Оплата - донейшн
Продолжительность - примерно 1,5 часа
Точка старта https://goo.gl/maps/vSp8ex8p2BSAfdvu8 
Саша @alexandermuzukin

#важное"
Сколько нужно денег на счету для активации?;1000 евро;"#важное 
Ребята, у центробанка Кипра действительно есть правило, что для активации студенческого банковского счета нужно 1000 евро на нем.
Мы прекрасно знаем, что счета активировались и без этих денег. Но чтобы избежать накладок и дополнительных проблем с некоторыми счетами, мы готовы заплатить вам стипендию 900 евро за 3 месяца вперед (июль, август, сентябрь). Мы надеемся, что вы все разумные и взрослые, умеете планировать свои финансы и не растрынькаете все раньше времени.
Если у вас есть персональные возражения против такого плана, напишите, пожалуйста.

PS Мы предполагаем, что 100 евро есть у каждого на счету. Если нет - положите, пожалуйста."
Куда нужно идти в банке?;Подняться по лестнице, показать что у тебя appointment и тебе выдадут карту пропускной по которой на 2 этаж можно зайти.;"Ребята, если вам пришло письмо со временем на завтра или с выбором времени - ответьте и сходите в банк
Проверьте почту!

Если не пришло - поставьте тут реакцию 👎(но сначала проверьте)

Про банк от вас же самих:
Надо прийти на в https://goo.gl/maps/UhYRQ4zGFukdom1RA
Подняться по лестнице, показать что у тебя appointment и тебе выдадут карту пропускной по которой на 2 этаж можно зайти.
Дальше нужно найти человека по имени Mrs. Maro Athanasiou
Взять паспорт, пластик и 1000евро

#важное"
К кому обращаться в банке?;Mrs. Maro Athanasiou;"Ребята, если вам пришло письмо со временем на завтра или с выбором времени - ответьте и сходите в банк
Проверьте почту!

Если не пришло - поставьте тут реакцию 👎(но сначала проверьте)

Про банк от вас же самих:
Надо прийти на в https://goo.gl/maps/UhYRQ4zGFukdom1RA
Подняться по лестнице, показать что у тебя appointment и тебе выдадут карту пропускной по которой на 2 этаж можно зайти.
Дальше нужно найти человека по имени Mrs. Maro Athanasiou
Взять паспорт, пластик и 1000евро

#важное"
Что нужно взять в банк?;Паспорт, пластик и 1000 евро;"Ребята, если вам пришло письмо со временем на завтра или с выбором времени - ответьте и сходите в банк
Проверьте почту!

Если не пришло - поставьте тут реакцию 👎(но сначала проверьте)

Про банк от вас же самих:
Надо прийти на в https://goo.gl/maps/UhYRQ4zGFukdom1RA
Подняться по лестнице, показать что у тебя appointment и тебе выдадут карту пропускной по которой на 2 этаж можно зайти.
Дальше нужно найти человека по имени Mrs. Maro Athanasiou
Взять паспорт, пластик и 1000евро

#важное"
Кто страховой агент?;Zenonas Leonidou ;"#важное 

Ребята, у нас сменился страховой агент - вместо Хрисо будет  Zenonas Leonidou 
Отправлять документы надо на почту admin@cronos.cy.net
Номер телефона тот же
В ноушн во вкладке Здоровье везде исправила

Кто отправлял в июне на почту Хрисо - он увидел документы, обещал ответить
Можете отписаться мне в личку, если что-то отправляли"
