name,text
Natalia Kitaeva,"#важное Ребята, выдача стипендии за декабрь будет по группам:

- Первая группа  - фамилии (на английском) A-I включительно - 30 ноября (завтра)
- Вторая группа -  фамилии K-P - 1 декабря
- Третья группа - фамилии  R-V - 2 декабря

09:00-12:00 & 14:30-16:30 office 120"
Natalia Kitaeva,"#важное Ребята, нам всем подарок в первый день зимы☀️🌴
В гости на Кипр приехал Федор Львович Бахарев, он рад прочитать вам лекцию в субботу 3 декабря в 14 часов (аудитория Computer Lab)

Задачи оптимизации и вариационные методы.

Доклад будет рассчитан на широкую аудиторию и большая его часть не будет предполагать специальных знаний. Мы на интересных и нетривиальных примерах обсудим понятия производной и производной по направлению. Посмотрим на традиционные для вариационного исчисления задачи: задачу  о брахистохроне, задачу о цепной линии и изопериметрическую задачу. Если останется время, то обсудим как вариационные методы позволяют решать задачи о сегментации изображений.

Бахарев Федор Львович, кандидат физико-математических наук, старший научный сотрудник лаборатории им. П.Л. Чебышева и ведущий математик в компании Quantori.

https://chebyshev.spbu.ru/people/baharev-fedor-lvovich/"
Natalia Kitaeva,может писать #важное в таких сообщениях?
Natalia Kitaeva,"#важное если вы хотите поехать на автобусе - обязательно возьмите с собой маску. Без маски могут не пустить. Требование ношения маски в общественном транспорте то вводят, то отменяют, уследить сложно, пусть она просто будет с собой."
Natalia Kitaeva,"#важное Ребята, ещё раз. Завтра 3 декабря  в 10 утра всем нужно прийти  в столовую университета с паспортом и визой , независимо от пола, возраста, срока годности паспорта, формы обучения  и тп. Просто всем 68 студентам в этом чате"
Natalia Kitaeva,"#важное Привет! Давайте завтра встретимся, я хочу познакомить вас со Светланой Рудневой @foxyslan. Света будет администратором, координатором текущей программы и нашей новой программы в университете, набор на которую откроется (надеемся) до сентября 2023. Заодно обсудим, что можно поделать тут на каникулах. Завтра у 1 курса первая пара, у 2 курса - вторая.  Встречаемся в 11 в столовой универа,  она уже открыта в это время? Первый курс - приходите после лекции, пожалуйста."
Svetlana Ru,"А теперь #важное

✏️Пожалуйста, пройдите опрос, какие предметы вам зачли
https://docs.google.com/forms/d/e/1FAIpQLSdvWOquDcjBzB7pE86cQYTwTWKUJXf2-KGwO-d0z8a8BuVZUw/viewform?usp=sf_link

Если захотите поменять и перепройти, напишите @gondurras и она удалит предыдущую запись

Результаты обезличенно можно посмотреть тут:
https://docs.google.com/spreadsheets/d/1Qg1sn1FcCejyWOAGm5xTYh5FTKZHLiawTXhX8C1IBjo/edit?usp=sharing

📌И залейте каждый свои итоговые офферы от универа в эту папку:
https://drive.google.com/drive/folders/1GwWkjncfcvNx8rd8GlGzXjKjnUeBgZgD?usp=sharing

📍До конца этой недели"
Natalia Kitaeva,"#важное Проверьте, пожалуйста. Если вы не сдавали и не в списке или если вы в списке, а тест есть - напишите мне в личку, пожалуйста прямо сейчас"
Svetlana Ru,"Привет!
Ждем вас в конференц-зале Pafos Gardens 20 декабря (вторник) в 18 часов на нашу небольшую ламповую вечеринку в честь рождественских праздников! ✨

Приходите с праздничным атрибутом (колпачок,ушки,тапки,свитер - что хотите), так будет веселее и атмосфернее 😉 
И можете захватить свои настолки!

Поговаривают, что будет пицца, игры,общение, розыгрыш Тайного Санты, немножко музыки и хорошая компания 🎉
А может еще и подаааарочки какие

А пока готовитесь - закидывайте свои любимые песни в новогодний плейлист:
https://music.yandex.ru/users/Dandoline/playlists/1016?token=9154c345-d901-440b-8c74-7ba757af1cb4

#важное"
Natalia Kitaeva,"#важное Ребята, тем, кто еще не сдавал тест по английскому password, пришло письмо в ключами. Пожалуйста, проверьте получение письма, зарегистрируйтесь на тест в удобное для вас время. Внимательно возьмите только свой ключ 🙃. Когда появится результат, - напишите мне его в личку, а сертификат загрузите в папку. Всем успешной сдачи!"
Svetlana Ru,"А теперь #важное

✏️Пожалуйста, пройдите опрос, какие предметы вам зачли
https://docs.google.com/forms/d/e/1FAIpQLSdvWOquDcjBzB7pE86cQYTwTWKUJXf2-KGwO-d0z8a8BuVZUw/viewform?usp=sf_link

Если захотите поменять и перепройти, напишите @gondurras и она удалит предыдущую запись

Результаты обезличенно можно посмотреть тут:
https://docs.google.com/spreadsheets/d/1Qg1sn1FcCejyWOAGm5xTYh5FTKZHLiawTXhX8C1IBjo/edit?usp=sharing

📌И залейте каждый свои итоговые офферы от универа в эту папку:
https://drive.google.com/drive/folders/1GwWkjncfcvNx8rd8GlGzXjKjnUeBgZgD?usp=sharing

📍До конца этой недели"
Svetlana Ru,"#важное  
 📍Дайджест за неделю 12/12

✔️Наши ребята заняли 2 место на полуфинале ICPC  - Southeastern Europe Regional Contest (SEERC) 
🥈 Поздравляем! 
Команда bird-cherry: 
Stepan Filippov @ahtohallan2
Nikolay Chukhin @hamerfall
Vsevolod Vaskin @GrandFruit
Ребята взяли 10 задач! 🎉  

И ура еще 2 нашим командам, которые хорошо показали себя в полуфинале и решили по 6 задач:
Ungifteds (Ilin Nikita @N1KlT4, Ustinov Georgii @Hardes1, Semenov Nikita @aalluukmas) 🎉
ciao chill (Goncharov Mikhail @goncharovmike, Kurin Vitaly @F47P2971215073, Solnyshkin Grigorii @iKrPpRpPp) 🎉

В финал выходят 2 команды из региона!
Все подробности вы можете посмотреть на сайте контеста

✔️Английский: все, кто сдавал, сдали успешно. На этой неделе еще 17 человек досдадут, держим за вас кулачки 🤞

✔️По зачислению в вуз и началу семестра пока нет новостей, но очень ждем и напишем сразу же"
Kristina Smolnikova,"#важное  
Привет! Ребята, вам на почту должно было упасть письмо с темой ""Проекты ML"". Если не пришло, напишите мне, пожалуйста, проверим, что вы точно есть в гугл-группе. А пока дублирую письмо: 
==
Павел Калайдин и Никита Маршалкин из компании Sumsub (в ноябре у вас была встреча с ними в универе) подготовили список проектов, над которыми вместе с ними можно будет поработать (пока не в рамках стажировок) https://kalaidin.notion.site/Sumsub-NUP-345d3438ca874f169803f8b7b19aad9f. 

Посмотрите, пожалуйста, и заполните форму с выбором проектов https://forms.gle/m2pnPDk6SsFCXS8m6 до вечера четверга 15 декабря. 

После сбора откликов пришлем дальнейшую информацию. 
=="
Ekaterina Artamonova,"#важное

Привет! 

Спасибо всем, кто заполнил опрос и отметил, на какие курсы хочет ходить ближайшей весной. Это очень помогает нам в планировании — так мы знаем сколько проверяющих нам надо, сколько групп делать по практике и тп

Сегодня будет в чем-то схожий вопрос — нам опять нужно пересчитать желающих. 

В конце январе-начале февраля (то есть еще в вашем «осеннем» семестре) есть желание пригласить Антона Подкопаева и Даниила Березуна для интенсивного прочтения курсов по семантике языков программирования и компиляторам. За неделю коллеги не смогут, конечно, прочитать весь материал, так что потом перейдем в онлайн. Но согласитесь, живые лекции — это всегда в 100 раз круче. 

В общем, ставьте реакции: 
👍🏻 пойдете на семантику
🤩 пойдете на компиляторы
🔥 пойдете на оба курса

Особых пререквизитов к курсам не выдвигается. Темы очень «джетбрейнсовые» ;)

Описания курсов: 
семантика языков программирования
компиляторы"
Natalia Kitaeva,"#важное
Ребята, Джордж написал вам в Study про анализы. Можно их сдавать не натощак.
Если у вас было сделано 3 вакцины Спутника или чего-то еще - просто показываете сертификат (например, в телефоне с госуслуг). Если прививки нет, то нужно сдать rapid тест в аптеке или прямо там за 5 евро (это за ваш счет).
С собой обязательно паспорт и маску.
Если вам может стать нехорошо при сдаче крови - заранее предупредите медперсонал"
Natalia Kitaeva,"#важное 
Ребята, привет. Мы все в ожидании информации о визах - и вы, и организаторы, и преподаватели. Точных сроков нам не называют, а Рождественские праздники приближаются. Давайте рассмотрим худший вариант, при котором вам не выдадут recipt, вы не сдадите биометрию до Рождества 24.12  и не сможете выехать из страны на каникулы по нему. В этой ситуации мы крайне рекомендуем никуда не ехать, особенно если у вас одноразовая туристическая виза и нет возможности въехать по ней обратно. 
Если с учетом всех сложностей с возвращением у вас есть весомая причина и намерение выехать на каникулы с Кипра, пожалуйста, заполните опрос. Будем разбираться с каждым случаем индивидуально."
Natalia Kitaeva,"#важное
Ребята, стипендию за январь выдадут 28 и 29 декабря 09:00-12:00 & 14:30-16:30 office 120.
28.12 вы получаете стипендию, если фамилия начинается на A-L. Фамилии M-V 29 декабря."
Ekaterina Artamonova,"#важное 

The call for Kotlin Multiplatform contest applications is still open!

If you are a student or recent graduate, apply before January 13 for an opportunity to win a trip to KotlinConf’23 in Amsterdam!

Learn more → https://kotlinconf.com/contest/

We’ve created a special channel for the participants #kotlin-multiplatform-contest, where they can ask their questions and share their experience: https://slack-chats.kotlinlang.org/c/kotlin-multiplatform-contest"
Svetlana Ru,"#важное  
 📍Дайджест за неделю 19/12

✔️ Завтра в конференц-зале гостиницы Pafos Gardens пройдет наша рождественская вечеринка! Ждем вас с 18 часов (все подробности в пригласительном посте в закрепе)

✔️ Все написали английский, ждем результаты! Кто уже получил - загружайте ваши сертификаты в папке 😉
https://drive.google.com/drive/u/1/folders/1EaIz-iqrMbgqn0v3x5hNbtf8eRF_7fA0

✔️ Все молодцы, смело и бодро сдали анализы и на шаг к ВНЖ ближе!

✔️ Мы с ребятами придумали вам активностей на каникулы - ждите анонсов тут 😉"
Svetlana Ru,"Ребята, доброе утро!
Знаю, что опросы вас могли уже достать, но что поделать - это самый простой способ собрать информацию
Пройдите и заполните, пожалуйста:
https://forms.gle/hWH36wgwo13N27s48

Особенно прошу тех, кто учится/работает и кто еще не оставлял местный номер телефона

#важное"
Natalia Kitaeva,"#важное
Ребята, если вы получили новый паспорт на Кипре, пришлите мне, пожалуйста,  в личных сообщениях его номер, дату выдачи и дату окончания действия"
Natalia Kitaeva,"#важное
Ребята, мы очень надеемся, что первую группу позовут на биометрию на следующей неделе. Состав группы напишет Giorgos. 
Тем, у кого появился новый паспорт, очень важно взять с собой оба паспорта - и старый, и новый!"
Svetlana Ru,"#важное  
 📍Дайджест за неделю 26/12

✔️ У нас появился общий ноушн со всей информацией:
https://n2k.notion.site/CS-Neapolis-24742ab12c8440228a71483cd58d6861
За создание спасибо @eertree_work 🎉
Теперь можно хранить все жизненное в одном месте и дополнять
Если не хватает прав редактировать - напишите Кириллу!

✔️В четверг стандартно пройдет занятие у Нияза в 15.30

✔️Спасибо, что готовы протестировать с нами курс С++!

✔️У вас есть еще одна возможность на каникулах собраться и сыграть в квиз, ссылка на квиз у @AwesomeSourCream

✔️Чтобы у вас состоялся классный квест, нужна помощь пары человек. Напишите @polinnnnnaaaaa, если готовы поучаствовать

✔️А я напоминаю, что еще жду ваши данные об учебе/работе и номера телефонов https://forms.gle/hWH36wgwo13N27s48"
Daniel Polzik,"#важное

Dear all.

We tried to take your medical results at the Hospital for the appropriate certification but your physical presence is required.

You all need to take your medical results to the Hospital, 2nd floor and take the certification for the Immigration. Please visit the hospital during the morning starting from 9 am. You will need to pay €15 cash for this procedure at the Hospital, so please have this amount with you.

For those that already paid at the University, please ask for a refund from Accounts department.

Your medical results are at the Student Affairs. Please collect them.

Your certification from the Hospital is needed for your student visa, so please arrange the visit there as soon as possible. I will ask you for the certification at a later stage."
Aleksandr Petrunin,"#важное
Завтра только с 8:00 до 12:30
Присутствовать лично обязательно, по другому никак, так сказали в администрации клиники."
Natalia Kitaeva,"#важное
Первая группа 24 человека едет в Никоссию завтра, вторая группа в понедельник. В понедельник будут получены ARC для обеих групп. Giorgos пришлет списки и инструкции"
Natalia Kitaeva,"#важное
Это первая группа, завтра в 7 утра выезжаете из PaphosGardens. Пожалуйста, поставьте будильники (1,2,5… столько, чтобы гарантированно проснуться). Подойдите к автобусу заранее, за 5-10 минут до отъезда. Возьмите все свои паспорта. С вами поедут сопровождающие, они организуют все процессы в департаменте. 
Заранее предупредите организаторов, если вы не планируете ехать обратно вместе со всеми, чтобы вас никто не ждал и не искал. В 16 часов тоже не опаздывайте на автобус, пожалуйста."
Svetlana Ru,"#важное

Ребята, проверьте сертификаты английского!
Если там есть ошибки в имени или дате рождения, свяжитесь с поддержкой и попросите исправить"
Natalia Kitaeva,"#важное  третью группу планируем на 4 января. Если вы возвращаетесь с каникул вечером 3- рано утром 4 в Ларнаку, напишите мне в личку"
Ekaterina Artamonova,"Ребята, привет! 

В начале января мы запускаем обязательный курс по С++. Приглашаем вступить в чатик курса.

Курс является обязательным для всех первокурсников и тех, у кого ранее этого курса не было. Для всех остальных — по желанию :) 

Стартуем на неделе 9-13 января. Точное расписание объявим чуть позже. 

Также просим вас пройти короткий опрос перед стартом. Он поможет организовать проверку домашек и представить ваш общий уровень владения языком. Дедлайн — 2 января 23:59.

#важное"
Антон,"The bus leaves at 7am. Again, please have with you your passport and your new passport in case you have one.

Also, for the people that have a new passport please send me a copy of it as soon as possible.
#важное"
Natalia Kitaeva,"#важное 
Всем, у кого появился новый паспорт и кто поедет за границу по arc, в миграционке советуют брать ОБА паспорта с собой. Как минимум в первый раз"
Natalia Kitaeva,"#важное
Не пропустите, не проспите, пожалуйста. В этом списке не будет возможности переноса. В среду 4.01.2023 в 7 утра"
Natalia Kitaeva,"#важное 
Ребята, вам дали чек  arc. Эта бумажка - оригинал. Её нельзя потерять, нельзя никому отдавать, забывать и тп. Носить с собой на Кипре её не надо, положите в сейф. При поездке за границу надо обязательно брать с собой вместе со всеми паспортами и пять же важно не потерять.
И все сохраните в своих  телефонах её фото, пожалуйста."
Ekaterina Artamonova,"#важное 

Привет! 

Сегодня у нас анонс второго обязательного курса — ""Математический анализ"". 

Занятия начнутся с будущей недели, будут проходить онлайн. Будут и лекции, и практики. Точное расписание объявим чуть позже. А пока вступайте в чат курса: https://t.me/+tc99erLXodMyOTIy

Курс обязательно надо проходить первокурсникам и всем тем, у кого была недостаточно сильная математическая подготовка на РФ программе универа. Ниже публикуем предварительный план занятий: 

13 лекций

1. Метрические и нормированные пространства. Пространства со скалярным произведением.
2. Предел в метрическом пространстве.
3. Элементы топологии.
4. Компактность.
5. Вспомнить всё (непрерывность за 90 минут): разные взгляды на непрерывность, теоремы Вейерштрасса, теорема Кантора, эквивалентность норм в конечномерном пространстве.
6. Вспомнить всё (пределы за 90 минут): замечательные пределы, символы Ландау (o и O), эквивалентность функций, определение производной.
7. Вспомнить всё (производная за 90 минут): основные свойства, основные теоремы дифференциального исчисления, формула Тейлора.
8. Вспомнить всё: интеграл за 90 минут.
9. Теорема о сжимающем отображении. Разные приложения. Как найти корень уравнения численно? Как найти минимум функции численно? Как доказать, что у дифференциального уравнения есть решение?
10. Дифференциал отображения, свойства дифференцирования.
11. Частные производные, производные по направлениям, градиент и его экстремальное свойство.
12. Задача о поиске оптимума и градиентный спуск. Задача о брахистохроне.
13. Условные экстремумы. Изопериметрическая задача и задача о цепной линии.

13 практик

1. Примеры пространств. Пространство непрерывных функций. Пространство дифференцируемых функций. Пространства последовательностей.
2. Свойства пределов в многомерных пространствах. Примеры вычисления пределов.
3. Элементы топологии на практике.
4. Оптимальные сети и энтропия.
5. Вычисление пределов.
6. Вычисление асимптотик.
7. Применение формулы Тейлора.
8. Вычисления интегралов: трюки, приближенное вычисление интегралов.
9. Численный поиск минимума. Решение дифференциального уравнения.
10. Норма линейного отображения, норма линейного функционала. 
11. Поверхности и линии уровня. Поле градиентов. Градиентный поток.
12. Поиски минимумов.
13. Поиски условных минимумов."
Svetlana Ru,"#важное  
 📍Дайджест за неделю 2/01

✔️ 3я группа завтра едет в миграционку в Никосию. Проверьте себя еще раз и не проспите!
https://t.me/c/1748331109/224

✔️Не забывайте как можно скорее заверить анализы в General Hospital и отнести заверенную бумажку в Students Affair

✔️Срочно-срочно надо вступать в чатик курса по С++ и пройти входной опрос ибо дедлайн был вчера
https://t.me/+H2ByJLSTvnE2MThi

✔️Ну и уже суперповторное напоминание от меня:

опрос про учебу, работу и номера телефонов https://forms.gle/hWH36wgwo13N27s48

собираем пиплбук про вас https://miro.com/welcomeonboard/Y2FPZDVJc1hWSnRTUURUNFBSQjF6Q2RPWlBEZWVkTXlTeEVxc3ZhZU1kNkxxakZkOVZSZTRiTWJ6M1o0UVB3c3wzMDc0NDU3MzQ2MDI3OTc3NjE1fDI=?share_link_id=219881325132

опрос по посещению английского https://t.me/c/1709947576/3525

✔️6 января на Кипре праздник и выходной, магазины и кафе снова могут быть закрыты

✔️Если уезжаете из страны, обязательно напишите @foxyslan или @natalia_kita
 Завтра-послезавтра придумаем, как это отражать

✔️Сегодня отмечает свой День Рождения Саша Федорова @gondurras 🎉🎂🎈🎁
Желаем классных дней на острове, интересной учебы и хороших людей рядом! Присоединяйтесь к поздравлениям 😉"
Svetlana Ru,"#важное

Ребята, если вы покидаете остров обязательно пишите нам и отмечайтесь в таблице в ноушн на время отсутствия
По возвращению можно свою строку удалять
https://n2k.notion.site/6221d9f714ce49068a63944586dd6268

Касается всех, кто сейчас уехал или собирается
И на будущее тоже"
Ekaterina Artamonova,"#важное

Ребята, 

Судя по всему старт нашего официального семестра случится в самое ближайшее время. То есть буквально на следующей неделе) Несколько мыслей в связи с этим:

1. Помимо курсов от университета (да-да, скоро у вас появится расписание), мы предлагаем вам 5 курсов ""от JetBrains"": 
— математический анализ 
— программирование на С++ 
— языки программирование и компиляторы (с конца января, очный интенсив, далее онлайн, ссылка будет позже)
— семантика языков программирования (с середины января, очный интенсив, далее онлайн, ссылка будет позже)
— теория категорий (онлайн, с февраля, ссылка будет позже)

Все они скорее всего никак не будут перезасчитываться в универе и выступят в виде дополнительных. В рамках университетской программы от нас также будут курсы: 
— data structure 
— fine grained complexity 

Кажется, этого достаточно :) Все ML курсы у нас в обсуждении и обязательно появятся в вашем весеннем семестре.  

2) Помимо этого с февраля по май будет предложен общий курс от JetBrains Academy, посвященный разным областям около разработки. Он не будет приносить баллы или плюсики вам в карму, но его прохождение будет очень классным дополнением к вашим программистким и математическим курсам. 

3) До 1 февраля вы продолжаете решать онлайн-материалы из этого поста. Не потому что мы вредные, а потому что в основном это фундаментальные курсы, знания с которых сильно пригодятся дальше и, скорее всего, нигде рассказываться больше не будут. 

4) Нами были выданы просьбы записываться на курсы по матану и плюсам всем, кто не проходил эти курсы ранее. Для первокурсников это обязательные курсы. И мы действительно считаем их важными в жизни каждого :)

 - - - - - - - - - - - 

Готовьтесь учиться много. Мы внимательно читали мотивацию каждого студента при переводе на Кипр и все из вас именного этого и хотели — много, сложно, интересно. 

Не пытайтесь отбрыкаться от каких-то курсов, если вам кажется что это тема не ваша. Согласитесь, не всегда можно сразу понять, а что действительно тебе нравится. Дайте шанс разным дисциплинам, расширяйте свой кругозор!

 - - - - - - - - - - - 

Итого правило на осенний* семестр звучит вот так: 
1. сдать выбранные материалы из этой таблицы
2. сдать из представленных нами дополнительных курсов не менее двух на выбор 

Исключение может быть сделано только для студентов 4го курса РФ университета, если вы продолжаете учёбу И пишете дипломную работу. 

*Осенний семестр — с 10 января по ~30 марта.

В каждом курсе мы будем проводить ""регистрацию"" — так мы будем отслеживать, кто на что записался для ведения общей ведомости. 

- - - - - - - - - - - - - - - - - - - - - - 

Во вторник, 10 января, приглашаем на общее собрание, чтобы вместе проговорить пункты выше и настроиться на интенсивную учёбу."
Natalia Kitaeva,"#важное 
Ребята, по поводу количества курсов от универа. Стандартное количество -5 курсов в семестр. Мы просили увеличить его, потому что вам перезачли мало кредитов, чтобы можно было догнать свой год обучения и учиться столько же лет, сколько изначально планировалось. Мы хотели бы, чтобы вы брали максимально возможное количество курсов, и точно не меньше 5. 
На сегодня универ разрешил брать до 6 предметов 2 курсу и до 7 предметов 3-4 курсу. Но эти цифры несколько раз менялись, окончательный результат увидим в ближайшее время 🙂

Итого на  сегодня получается:
1 курс -5 предметов от универа (вы все успеваете, торопиться некуда), 
2 курс 6 (5) предметов в зависимости от зачтеных,
3 курс 7(6) предметов,
4 курс 7 (6) предметов.
Без скобок -желательное количество предметов. В скобках - можно договориться, если индивидуально написать мне или Свете и показать, что вы успеваете набрать кредиты в нужный срок. 

4 курс - если вы в этом году получаете диплом в России и планируете дальше работать или поступать в магистратуру, не заканчивая бакалавриат в Neapolis, тоже пишите индивидуально. Но я бы на вашем месте брала максимальное количество курсов, потому что  никто не знает, как будет развиваться ситуация. Лучше подстраховаться."
Ekaterina Artamonova,"Ребята, приглашаем организовывать чаты курсов JetBrains. 

Сегодня анонсируем чат курса ""Семантика языков программирования"": 
https://t.me/+aqNZYW9LVkMzMWUy

Вступайте в чат до 23:59 сегодня, чуть позже сегодня в нём будет анонсирована регистрация для попадания в ведомость. 

Занятия начнутся на будущей неделе, будут происходить очно в интенсивном формате. 

NB Пожалуйста, не бойтесь пререквизитов в виде ФП/логики/ассемблера и тп. Записывайтесь на курс, материал вам точно будет по силам. Это касается и компиляторов. 

#важное"
Natalia Kitaeva,"#важное 
Если вы не получили стипендию за январь, её можно получить завтра 10.01.23 в том же кабинете и в то же время работы"
Svetlana Ru,"#важное  

 📍Дайджест за неделю 9/01

✔️Сегодня День Рождения у Оли Бугаевой @pretty_btw 🥳🍰🎊
Желаем насыщенных дней и всего интересного! Будь счастлива! 
Присоединяйтесь к поздравлениям 😉

✔️Все группы получили ресипт, ура! 🎉

✔️Идет запись на курсы от JetBrains: на С++ и матанализ группы набраны, успевайте записаться на курс ""Семантика языков программирования"": 
https://t.me/+aqNZYW9LVkMzMWUy сегодня до 23:59

✔️Последнее напоминание про опрос: https://forms.gle/hWH36wgwo13N27s48
Заполните сегодня, пожалуйста, и не заставляйте меня идти в личку, вас много

✔️Продолжаем наполнять peoplebook вашими фотографиями и интересами
https://miro.com/app/board/uXjVP3afo54=/
Если индивидуально формат не пойдет, будем придумывать что-то новое

✔️Завтра будет встреча в университете про обучение, ориентировочно в 16, то точное время и аудиторию напишем завтра"
Natalia Kitaeva,"#важное 
Доброе утро! Встречаемся сегодня в 16 часов в амфитеатре университета"
Natalia Kitaeva,"#важное 
Занятия Александра Сергеевича в понедельник 16.01 будут независимо от официального начала семестра. Если универ еще не сможет объявить начало занятий, это будет встреча ""по интересам"" с лекциями ""на тему"". Аудитория iLab."
Natalia Kitaeva,"#важное  
Ребята, с завтрашнего дня 17.01 (вторник) начинается официальная очная учёба! Ура 🎉!
Завтра все пары в ILab.
В мудле у вас уже будут выбраны курсы, у кого -то 5, у кого-то 6, у кого-то 7. Если захотите что-то поменять, это можно будет сделать. Универу важно, чтобы на каждый курс ходили не меньше 10 человек, других ограничений нет. 
Поздравляю всех с началом учёбы 🎉🎉🎉"
Svetlana Ru,"#важное  
 📍Дайджест за неделю 16/01

✔️Ура, 17 января - официальное начало учебы в университете!

✔️ Запись на курсы от  Jet Brains продолжается: завтра начнем на Компиляторы, а 25го - на Теорию категорий. Следите за анонсами!

✔️Проверьте назначенные в мудле курсы от университета и поменяйте, если что не так. На следующей неделе запущу опрос, у кого что по курсам NUP

✔️И не забывайте про задание с пиплбуком https://t.me/c/1709947576/4228"
Svetlana Ru,"#важное 

Ребята, по какой-то причине нет в папке ваших сертификатов английского (даже если ielts)

@spqratwa 
@ahtohallan2 
@SedavRM
@vanerk

Срочно-срочно загрузить к утру!
https://drive.google.com/drive/u/1/folders/1EaIz-iqrMbgqn0v3x5hNbtf8eRF_7fA0"
Natalia Kitaeva,"#важное 
Если получили новый паспорт на Кипре:
Университету отправляли ваши новые паспорта, но на всякий случай, пожалуйста, вместе с пакетом документов отдайте копию нового паспорта и обратите их внимание, что у вас новый!"
